state1,state2,distance
AZ,LA,19.922964885026534
AZ,ME,43.84446449404987
AZ,MD,35.19548577374662
AZ,MA,40.64403218985537
AZ,MI,28.116075958248512
AZ,MN,21.1031702286647
AZ,MS,22.046113076005035
AZ,MO,19.63132297324865
AZ,MT,12.93805528276951
AZ,NE,13.91177837553488
AZ,NV,7.089344909792442
AZ,NH,41.16805769064166
AZ,NJ,37.45758086756272
AZ,NM,5.549186881877383
AZ,NY,37.161197234750134
AZ,NC,32.297925412323316
AZ,ND,17.28905500540732
AZ,OH,29.485870539802622
AZ,OK,14.226757643960912
AZ,OR,13.133024337524086
AZ,PA,34.49853744798467
AZ,RI,40.78133714384559
AZ,SC,30.765877148067798
AZ,SD,15.302317968856881
AZ,TN,25.359193659302345
AZ,TX,12.64266438255798
AZ,UT,5.031110137931789
AZ,VT,40.20561582478249
AZ,VA,32.96680300939113
AZ,WA,15.780883252847408
AZ,WV,31.343144840618663
AZ,WI,24.01125401181704
AZ,WY,9.640796372188351
AR,AL,5.998879942956018
AR,AK,66.56922823234471
AR,AZ,19.227579309939152
AR,AR,0.0
AR,CA,27.12386777526391
AR,CO,13.732594751175025
AR,CT,20.83171581267371
AR,DE,17.42578180168684
AR,DC,15.942106639337217
AR,FL,11.793514204850046
AR,GA,9.277545757903864
AR,HI,65.57726487449749
AR,ID,24.10318187646602
AR,IL,6.0858885645401015
AR,IN,7.934854829169845
AR,IA,7.258148610355122
AR,KS,6.943828112071895
AR,KY,7.613218311594648
AR,LA,3.850791821171329
AR,ME,25.455274709379978
AR,MD,16.195409791975017
AR,MA,21.90957202069451
AR,MI,11.781849098083029
AR,MN,11.538246959568863
AR,MS,3.514810065992183
AR,MO,3.4628342437951036
AR,MT,21.05609212793296
AR,NE,9.909691834260038
AR,NV,24.59183771030543
AR,NH,22.6364369797899
AR,NJ,18.54246320341502
AR,NM,13.678661370543539
AR,NY,18.737873135444165
AR,NC,13.071668815419098
AR,ND,14.900805769487773
AR,OH,11.053472258525824
AR,OK,5.099297686936895
AR,OR,29.533211314213702
AR,PA,15.818637599047525
AR,RI,21.96002401455881
AR,SC,11.587453044133555
AR,SD,12.320634559145075
AR,TN,6.1679302890029515
AR,TX,7.6900076443395005
AR,UT,19.727329879636525
AR,VT,21.80139005315945
AR,VA,13.84062897775964
AR,WA,30.66313334608842
AR,WV,12.399628801702097
AR,WI,10.033831895143548
AR,WY,17.143820390158076
CA,AL,32.93675355738632
CA,AK,42.416685364606224
CA,AZ,8.333851597550796
CA,AR,27.12386777526391
CA,CA,0.0
CA,CO,14.039367751077686
